customer_id,session_date,age,destination,first_browser,language,booking
1,2021-06-14 04:49:23,,NDF,IE,en,1
2,2021-06-25 19:11:09,28.0,NDF,Chrome,en,1
3,2021-07-13 19:23:29,,GB,-unknown-,en,1
4,2022-01-09 00:40:50,32.0,NDF,Safari,en,1
5,2021-04-05 22:38:07,,NDF,IE,en,1
6,2021-06-12 09:53:09,28.0,ES,Firefox,en,1
7,2021-05-24 07:39:42,26.0,US,Safari,en,1
8,2021-09-11 07:17:25,28.0,IT,Chrome,en,1
9,2021-07-01 06:53:19,,US,Safari,en,1
10,2022-03-23 19:16:22,39.0,NDF,Mobile Safari,en,1
11,2021-09-10 01:04:37,43.0,NDF,Safari,en,1
12,2021-05-04 23:01:26,33.0,US,Chrome,en,1
13,2021-07-07 11:08:27,,NDF,Safari,en,1
14,2021-02-19 13:34:37,34.0,NDF,Mobile Safari,en,1
15,2021-10-23 01:54:43,,NDF,-unknown-,en,1
16,2021-01-28 20:18:38,45.0,US,Chrome Mobile,en,1
17,2022-03-01 23:25:55,,US,IE,en,1
18,2021-05-10 12:55:12,38.0,US,Firefox,en,1
19,2021-08-26 15:25:07,,NDF,Firefox,en,1
20,2021-12-02 12:21:31,,NDF,Safari,en,1
21,2022-01-02 14:38:38,,NDF,Mobile Safari,en,1
22,2021-04-30 02:43:41,58.0,US,Safari,en,1
23,2021-01-28 06:52:34,,IT,Chrome,en,1
24,2021-07-20 04:58:41,33.0,US,-unknown-,en,1
25,2021-11-13 12:03:38,66.0,NDF,Chrome,en,1
26,2021-09-02 09:09:17,63.0,NDF,IE,en,1
27,2021-10-03 10:56:01,,NDF,Chrome Mobile,en,1
28,2021-09-24 08:03:32,46.0,GB,Safari,en,1
29,2022-01-16 12:34:34,,other,Firefox,en,1
30,2021-01-23 23:11:13,24.0,NDF,-unknown-,en,1
31,2021-01-12 23:19:37,43.0,FR,Chrome,en,1
32,2022-01-13 01:17:48,44.0,US,Firefox,en,1
33,2022-03-05 13:12:46,24.0,NDF,-unknown-,fr,1
34,2021-04-14 17:30:14,26.0,NDF,Safari,en,1
35,2021-12-12 17:04:56,,US,Safari,zh,1
36,2022-03-16 08:01:22,,NDF,-unknown-,en,1
37,2022-03-20 21:39:26,37.0,US,Safari,en,1
38,2021-12-13 08:47:08,28.0,other,Safari,en,1
39,2022-01-18 02:41:55,54.0,NDF,Safari,en,1
40,2021-10-31 21:19:56,,NDF,Safari,en,1
41,2021-01-19 01:06:04,,other,-unknown-,en,1
42,2022-01-21 14:32:00,,NDF,IE,en,1
43,2022-03-03 03:08:20,,NDF,Safari,en,1
44,2021-09-03 09:23:59,38.0,NDF,Safari,en,1
45,2021-08-06 19:07:05,30.0,NDF,Mobile Safari,en,1
46,2021-09-16 03:57:31,34.0,NDF,Chrome,en,1
47,2021-10-14 19:31:31,56.0,NDF,IE,en,1
48,2022-02-07 07:32:32,26.0,US,Safari,en,1
49,2021-07-08 12:34:47,22.0,other,Chrome,en,1
50,2021-05-31 05:18:48,24.0,NL,Mobile Safari,en,1
51,2021-05-18 02:08:55,41.0,DE,Firefox,en,1
52,2021-01-17 12:28:54,,US,Chrome,en,1
53,2021-08-21 14:14:17,,US,IE,en,1
54,2021-09-15 02:05:49,26.0,US,Chrome,en,1
55,2021-11-04 22:31:59,31.0,US,Chrome,en,1
56,2021-02-26 17:28:24,25.0,other,Chrome,en,1
57,2021-06-05 21:14:22,30.0,NDF,Chrome,en,1
58,2022-02-20 16:03:41,37.0,NDF,IE,en,1
59,2021-08-17 16:15:17,,NDF,Chrome,en,1
60,2022-03-28 19:34:30,53.0,NDF,-unknown-,en,1
61,2021-01-25 15:46:15,105.0,NDF,IE,en,1
62,2021-06-30 12:15:10,,NDF,Safari,en,1
63,2021-06-18 22:59:46,,NDF,Mobile Safari,en,1
64,2021-03-30 00:23:35,34.0,NDF,IE,en,1
65,2022-02-04 03:15:36,46.0,NDF,Safari,en,1
66,2021-10-28 05:32:17,,US,Chrome,en,1
67,2021-08-28 04:08:28,24.0,US,Safari,en,1
68,2021-01-20 07:43:00,33.0,NDF,Safari,en,1
69,2022-01-12 03:42:43,24.0,US,Safari,en,1
70,2021-04-30 23:10:01,46.0,NDF,Mobile Safari,en,1
71,2021-02-13 00:15:47,26.0,US,Firefox,en,1
72,2021-07-13 07:06:21,29.0,other,Firefox,en,1
73,2022-02-25 05:44:35,27.0,NDF,Safari,en,1
74,2021-09-06 09:11:27,44.0,NL,Firefox,en,1
75,2022-01-22 05:43:51,,NDF,Chrome,en,1
76,2021-06-06 18:05:39,,NDF,-unknown-,en,1
77,2022-02-01 15:47:38,28.0,US,Chrome,en,1
78,2022-02-02 01:15:57,36.0,NDF,Safari,en,1
79,2022-01-08 16:22:47,,NDF,Chrome,en,1
80,2021-04-01 02:01:49,29.0,US,Safari,en,1
81,2022-02-27 00:06:44,,US,Safari,en,1
82,2022-02-13 00:28:27,55.0,US,-unknown-,en,1
83,2022-01-19 01:59:06,34.0,US,Chrome,en,1
84,2021-03-09 23:55:17,23.0,NDF,Chrome,en,1
85,2021-08-27 04:54:01,,NDF,Chrome,en,1
86,2021-01-16 18:55:46,19.0,NDF,Safari,en,1
87,2021-06-03 23:08:39,,NDF,Safari,en,1
88,2021-10-25 08:00:46,,NDF,Safari,en,1
89,2021-04-28 15:39:43,58.0,NDF,Chrome,en,1
90,2021-07-31 21:23:38,,US,Safari,fr,1
91,2021-04-13 14:21:22,44.0,NDF,Safari,en,1
92,2021-07-12 12:31:26,18.0,IT,Chrome,en,1
93,2021-10-24 21:54:36,,US,Safari,en,1
94,2021-02-20 16:04:12,30.0,NDF,Chrome,en,1
95,2021-06-07 05:06:53,32.0,US,Chrome,en,1
96,2021-11-22 17:30:55,,FR,Safari,en,1
97,2022-02-07 10:32:16,52.0,NDF,Safari,en,1
98,2021-12-17 01:54:06,29.0,NDF,Firefox,en,1
99,2021-04-19 05:32:04,28.0,NDF,Safari,en,1
100,2021-06-29 22:39:54,26.0,NDF,Chrome,en,1
101,2022-01-01 11:29:41,,US,-unknown-,en,1
102,2021-02-15 07:28:20,36.0,US,Chrome,en,1
103,2021-05-02 12:57:44,31.0,US,Chrome,en,1
104,2021-09-25 06:19:57,76.0,NDF,AOL Explorer,en,1
105,2021-02-13 00:33:49,45.0,US,Mobile Safari,en,1
106,2021-01-22 05:46:00,32.0,US,Firefox,en,1
107,2021-01-18 21:11:25,,NDF,Safari,en,1
108,2021-02-28 02:18:02,,NDF,Safari,en,1
109,2021-05-24 18:38:53,,FR,Safari,en,1
110,2022-03-11 02:28:18,30.0,NDF,Safari,en,1
111,2021-07-05 05:13:10,,NDF,IE,en,1
112,2022-01-07 05:28:32,42.0,FR,Chrome,en,1
113,2021-08-17 20:55:16,,NDF,Chrome,en,1
114,2021-11-06 14:27:31,51.0,NDF,Mobile Safari,en,1
115,2021-03-28 08:02:06,35.0,IT,Chrome,en,1
116,2021-04-11 19:44:23,33.0,NDF,Firefox,en,1
117,2021-07-05 01:44:46,28.0,US,Chrome,en,1
118,2021-10-22 16:17:20,37.0,NDF,Mobile Safari,fr,1
119,2022-02-02 22:22:32,,NDF,Chrome,sv,1
120,2021-09-29 06:40:09,30.0,NDF,Chrome,en,1
121,2021-01-02 05:33:07,,NDF,Safari,en,1
122,2021-05-11 20:46:39,37.0,US,Chrome,en,1
123,2022-01-14 20:21:44,50.0,NDF,Mobile Safari,en,1
124,2021-09-01 21:00:09,47.0,US,Safari,en,1
125,2021-11-22 07:37:59,23.0,US,Chrome,ko,1
126,2021-04-26 04:32:15,32.0,US,Safari,en,1
127,2021-10-11 15:05:50,,US,Chrome,en,1
128,2021-01-31 09:11:04,70.0,ES,IE,en,1
129,2021-12-10 07:53:31,23.0,US,Chrome,en,1
130,2021-12-08 08:07:18,,NDF,IE,en,1
131,2022-03-03 01:26:55,,NDF,Safari,en,1
132,2021-12-14 06:20:59,,NDF,Mobile Safari,en,1
133,2021-06-11 05:41:45,,US,Chrome,en,1
